(on crate0 crate7) (on crate1 crate0) (on crate2 crate6) (on crate3 crate2) (on crate4 crate1) (on crate5 crate3) (on crate6 pallet0) (on crate7 pallet1)
(on crate0 crate7) (on crate1 crate0) (on crate2 crate6) (on crate3 crate2) (on crate4 crate3) (on crate5 crate1) (on crate6 pallet1) (on crate7 pallet0)
(on crate0 crate2) (on crate1 crate5) (on crate2 crate6) (on crate3 crate1) (on crate4 crate3) (on crate5 crate7) (on crate6 pallet1) (on crate7 pallet0)
(on crate0 crate2) (on crate1 crate5) (on crate2 crate7) (on crate3 crate1) (on crate4 crate3) (on crate5 crate4) (on crate6 pallet0) (on crate7 pallet1)
(on crate0 crate3) (on crate1 crate5) (on crate2 crate1) (on crate3 crate4) (on crate4 crate2) (on crate5 crate7) (on crate6 pallet1) (on crate7 pallet0)
(on crate0 crate3) (on crate1 crate5) (on crate2 crate6) (on crate3 crate1) (on crate4 crate2) (on crate5 crate4) (on crate6 pallet0) (on crate7 pallet1)
(on crate0 crate5) (on crate1 crate3) (on crate2 crate7) (on crate3 crate4) (on crate4 crate2) (on crate5 crate1) (on crate6 pallet1) (on crate7 pallet0)
(on crate0 crate5) (on crate1 crate3) (on crate2 crate1) (on crate3 crate4) (on crate4 crate2) (on crate5 crate7) (on crate6 pallet0) (on crate7 pallet1)
(on crate0 crate5) (on crate1 crate3) (on crate2 crate6) (on crate3 crate4) (on crate4 crate2) (on crate5 crate1) (on crate6 pallet0) (on crate7 pallet1)
(on crate0 crate4) (on crate1 crate2) (on crate2 crate1) (on crate3 crate5) (on crate7 crate3) (on crate6 crate7) (on crate5 pallet0) (on crate4 pallet1)
