(lift hoist0 crate4 crate3 depot0)
(drive truck0 depot1 depot0)
(load hoist0 crate3 truck0 depot0)
(load hoist0 crate2 truck0 depot0)
(unload hoist0 crate2 truck0 depot0)
(load hoist2 crate0 truck0 distributor0)
(drive truck0 distributor0 depot1)
(load hoist1 crate5 truck0 depot1)
(unload hoist1 crate3 truck0 depot1)
(drop hoist1 crate0 crate3 depot1)
(unload hoist1 crate1 truck0 depot1)
(unload hoist1 crate5 truck0 depot1)
(drop hoist1 crate5 crate1 depot1)
(drop hoist2 crate4 pallet2 distributor0)
