(turn_to satellite4 planet11 star9)
(turn_to satellite3 star3 planet10)
(turn_to satellite0 star4 star0)
(turn_to satellite0 planet5 star3)
(turn_to satellite0 phenomenon6 planet5)
(take_image satellite0 phenomenon6 instrument1 image4)
(turn_to satellite0 phenomenon8 phenomenon6)
(take_image satellite0 planet10 instrument1 image4)
(calibrate satellite1 instrument3 star2)
(turn_to satellite1 star9 star2)
(turn_to satellite4 groundstation1 planet11)
(turn_to satellite4 phenomenon7 groundstation1)
(take_image satellite4 phenomenon7 instrument8 infrared1)
