(turn_to satellite4 planet9 planet10)
(turn_to satellite2 planet10 star1)
(switch_on instrument0 satellite0)
(calibrate satellite0 instrument0 star1)
(turn_to satellite0 phenomenon13 star7)
(take_image satellite0 phenomenon13 instrument0 image4)
(turn_to satellite0 planet5 phenomenon14)
(calibrate satellite1 instrument2 groundstation3)
(turn_to satellite4 star16 planet9)
(switch_on instrument9 satellite4)
(turn_to satellite4 star16 star2)
(take_image satellite4 star16 instrument9 infrared3)
(turn_to satellite4 planet9 star16)
