(CLEAR D) (ONTABLE W) (ON D R) (ON R A) (ON A W)
(CLEAR W) (ONTABLE R) (ON W A) (ON A R)
(CLEAR R) (ONTABLE W) (ON R A) (ON A W)
(CLEAR W) (ONTABLE D) (ON W A) (ON A D)
(CLEAR C) (ONTABLE W) (ON C R) (ON R O) (ON O W)
(CLEAR R) (ONTABLE W) (ON R O) (ON O W)
(CLEAR W) (ONTABLE R) (ON W E) (ON E A) (ON A R)
(CLEAR E) (ONTABLE R) (ON E A) (ON A R)
(CLEAR P) (ONTABLE R) (ON P E) (ON E A) (ON A R)
(CLEAR R) (ONTABLE E) (ON R O) (ON O P) (ON P E)
(CLEAR D) (ONTABLE E) (ON D O) (ON O P) (ON P E)
(CLEAR D) (ONTABLE R) (ON D E) (ON E A) (ON A R)
(CLEAR W) (ONTABLE E) (ON W O) (ON O R) (ON R E)
(CLEAR P) (ONTABLE R) (ON P O) (ON O W) (ON W E) (ON E R)
(CLEAR R) (ONTABLE P) (ON R E) (ON E A) (ON A P)
(CLEAR C) (ONTABLE R) (ON C O) (ON O W) (ON W E) (ON E R)
(CLEAR C) (ONTABLE E) (ON C O) (ON O R) (ON R E)
(CLEAR P) (ONTABLE E) (ON P O) (ON O R) (ON R E)
(CLEAR W) (ONTABLE E) (ON W A) (ON A D) (ON D E)
(CLEAR P) (ONTABLE W) (ON P A) (ON A W)
(CLEAR R) (ONTABLE E) (ON R A) (ON A P) (ON P E)
