(lift hoist0 crate5 crate4 depot0)
(lift hoist1 crate7 crate6 distributor0)
(load hoist1 crate6 truck1 distributor0)
(load hoist1 crate6 truck1 distributor0)
(lift hoist1 crate0 pallet1 distributor0)
(drive truck1 distributor0 depot0)
(drop hoist1 crate7 pallet1 distributor0)
(lift hoist0 crate4 crate2 depot0)
(load hoist0 crate4 truck1 depot0)
(lift hoist0 crate2 pallet0 depot0)
(load hoist0 crate2 truck1 depot0)
(unload hoist0 crate6 truck1 depot0)
(drop hoist0 crate6 pallet0 depot0)
(drop hoist0 crate2 crate6 depot0)
(unload hoist0 crate4 truck1 depot0)
(drop hoist0 crate4 crate2 depot0)
(unload hoist0 crate3 truck1 depot0)
(drop hoist0 crate1 crate3 depot0)
(unload hoist0 crate5 truck1 depot0)
(unload hoist0 crate0 truck1 depot0)
