(information-gathered perseus) (information-gathered cassiopea) (information-gathered andromeda) (information-gathered sagittarius) (information-gathered scorpio) (information-gathered virgo) (information-gathered aries) (information-gathered leo) (information-gathered libra) (information-gathered taurus)
(data-stolen-from perseus) (data-stolen-from taurus) (data-stolen-from aries)
(vandalized perseus) (vandalized taurus) (vandalized leo)
(data-stolen-from leo) (data-stolen-from taurus) (vandalized taurus)
(vandalized virgo) (data-stolen-from aries) (data-stolen-from sagittarius)
(data-stolen-from cassiopea) (data-stolen-from libra) (vandalized taurus)
(vandalized libra) (vandalized virgo) (vandalized scorpio)
(data-stolen-from andromeda) (vandalized virgo) (data-stolen-from aries)
(vandalized sagittarius) (vandalized scorpio) (data-stolen-from virgo)
(data-stolen-from perseus) (data-stolen-from cassiopea) (vandalized libra)
(data-stolen-from aries) (data-stolen-from taurus) (data-stolen-from andromeda)
(vandalized perseus) (vandalized virgo) (vandalized scorpio)
(data-stolen-from andromeda) (vandalized leo) (data-stolen-from libra)
(vandalized scorpio) (data-stolen-from scorpio) (data-stolen-from virgo)
(vandalized aries) (data-stolen-from libra) (vandalized cassiopea)
(data-stolen-from scorpio) (vandalized cassiopea) (data-stolen-from aries)
(data-stolen-from sagittarius) (vandalized libra) (data-stolen-from virgo)
(vandalized cassiopea) (data-stolen-from leo) (data-stolen-from scorpio)
(vandalized aries) (data-stolen-from libra) (data-stolen-from taurus)
(vandalized taurus) (data-stolen-from cassiopea) (vandalized aries)
