(turn_to satellite2 phenomenon5 star6)
(turn_to satellite1 star7 groundstation4)
(turn_to satellite3 star3 groundstation2)
(turn_to satellite0 groundstation2 star6)
(switch_on instrument2 satellite0)
(calibrate satellite0 instrument2 groundstation2)
(turn_to satellite0 planet10 groundstation2)
(take_image satellite0 planet10 instrument2 image0)
(turn_to satellite2 planet9 phenomenon5)
(turn_to satellite2 planet11 planet9)
(turn_to satellite2 star1 planet11)
(switch_on instrument5 satellite3)
(calibrate satellite2 instrument5 star1)
(take_image satellite3 star3 instrument5 image1)
(turn_to satellite2 phenomenon5 star1)
(take_image satellite2 phenomenon5 instrument5 image2)
(turn_to satellite3 planet9 star3)
(take_image satellite3 planet9 instrument5 image1)
(turn_to satellite3 planet11 planet9)
(take_image satellite3 planet11 instrument5 image2)
