(load hoist1 crate5 truck0 depot1)
(drive truck0 depot1 depot0)
(lift hoist0 crate3 crate2 depot0)
(load hoist0 crate2 truck0 depot0)
(load hoist0 crate1 truck0 depot0)
(unload hoist0 crate4 truck0 depot0)
(drop hoist0 crate4 pallet0 depot0)
(unload hoist0 crate5 truck0 depot0)
(unload hoist1 crate2 truck0 depot1)
(lift hoist2 crate0 pallet2 distributor0)
(drive truck0 depot1 distributor0)
(load hoist2 crate0 truck1 distributor0)
(drop hoist2 crate0 crate3 distributor0)
(drop hoist1 crate1 crate2 depot1)
