(unstack n f)
(unstack c m)
(stack c a)
(stack m d)
(unstack i e)
(put-down i)
(unstack e g)
(put-down e)
(unstack g q)
(put-down g)
(unstack q b)
(unstack b p)
(put-down b)
(unstack p h)
(unstack h j)
(put-down h)
(unstack j o)
(put-down j)
(pick-up o)
(stack o m)
(pick-up e)
(stack e o)
(stack h e)
(put-down c)
(pick-up a)
(stack a h)
(pick-up g)
(stack g a)
(pick-up b)
(stack b g)
(pick-up j)
(stack j b)
(unstack k f)
(stack f j)
(stack k f)
(pick-up i)
(stack i k)
(pick-up c)
(stack c i)
(unstack l n)
(put-down l)
(stack n c)
(pick-up l)
(stack l n)
(pick-up p)
