(switch_on instrument6 satellite3)
(calibrate satellite3 instrument6 groundstation4)
(turn_to satellite3 phenomenon5 groundstation4)
(take_image satellite3 phenomenon5 instrument6 image1)
(turn_to satellite3 star6 phenomenon5)
(turn_to satellite3 planet8 star6)
(turn_to satellite0 groundstation2 star6)
(take_image satellite3 planet8 instrument6 image1)
(calibrate satellite0 instrument2 groundstation2)
(turn_to satellite3 planet11 planet8)
(take_image satellite3 planet11 instrument6 image2)
(take_image satellite0 planet9 instrument2 image0)
(turn_to satellite2 phenomenon5 star6)
