(on crate0 pallet0) (on crate1 pallet1) (on crate2 pallet2)
(on crate0 pallet1) (on crate1 pallet2) (on crate2 pallet3)
(on crate0 pallet2) (on crate1 pallet4) (on crate2 pallet5)
(on crate0 pallet2) (on crate1 pallet1) (on crate2 pallet0)
(on crate0 pallet1) (on crate1 pallet3) (on crate2 pallet4)
(on crate0 pallet1) (on crate1 pallet4) (on crate2 pallet5)
(on crate0 pallet1) (on crate1 pallet5) (on crate2 pallet3)
(on crate0 pallet0) (on crate1 pallet2) (on crate2 pallet3)
(on crate0 pallet2) (on crate1 pallet0) (on crate2 pallet1)
(on crate0 pallet2) (on crate1 pallet3) (on crate2 pallet5)
