(switch_on instrument6 satellite3)
(turn_to satellite3 groundstation4 groundstation2)
(calibrate satellite3 instrument6 groundstation4)
(turn_to satellite3 star3 groundstation4)
(take_image satellite3 star3 instrument6 image1)
(turn_to satellite3 phenomenon5 star3)
(take_image satellite3 phenomenon5 instrument6 image2)
(turn_to satellite3 planet9 phenomenon5)
(switch_on instrument2 satellite0)
(turn_to satellite3 planet11 planet9)
(take_image satellite0 planet10 instrument2 image0)
(turn_to satellite2 phenomenon5 star6)
(turn_to satellite1 star7 groundstation0)
