(sample_rock rover3 rover3store waypoint8)
(navigate rover0 waypoint4 waypoint8)
(calibrate rover1 camera2 objective4 waypoint6)
(communicate_image_data rover1 general objective0 high_res waypoint6 waypoint9)
(navigate rover2 waypoint6 waypoint1)
(navigate rover2 waypoint1 waypoint7)
(sample_soil rover2 rover2store waypoint7)
(navigate rover3 waypoint4 waypoint1)
(sample_rock rover3 rover3store waypoint1)
(navigate rover3 waypoint1 waypoint4)
(navigate rover3 waypoint4 waypoint2)
(sample_rock rover3 rover3store waypoint2)
(navigate rover0 waypoint4 waypoint0)
(sample_soil rover0 rover0store waypoint0)
(navigate rover0 waypoint0 waypoint7)
(communicate_soil_data rover0 general waypoint0 waypoint7 waypoint9)
(navigate rover0 waypoint7 waypoint0)
(navigate rover0 waypoint4 waypoint5)
(communicate_soil_data rover0 general waypoint5 waypoint4 waypoint9)
(navigate rover0 waypoint4 waypoint10)
(drop rover0 rover0store)
(sample_soil rover0 rover0store waypoint10)
(navigate rover0 waypoint10 waypoint4)
