(lift hoist1 crate0 pallet4 distributor0)
(load hoist1 crate0 truck1 distributor0)
(load hoist1 crate0 truck1 distributor0)
(drop hoist1 crate8 crate6 distributor0)
(lift hoist1 crate5 crate1 distributor0)
(load hoist1 crate5 truck1 distributor0)
(load hoist1 crate1 truck1 distributor0)
(load hoist1 crate1 truck1 distributor0)
(drive truck1 distributor0 depot0)
(unload hoist0 crate1 truck1 depot0)
(drop hoist0 crate1 crate2 depot0)
(unload hoist0 crate0 truck1 depot0)
(drop hoist0 crate0 crate1 depot0)
(drive truck1 depot0 distributor1)
(load hoist2 crate9 truck1 distributor1)
(unload hoist1 crate9 truck1 distributor0)
(load hoist1 crate9 truck1 distributor0)
(unload hoist1 crate9 truck1 distributor0)
(drop hoist1 crate9 pallet1 distributor0)
