(board c0 l8)
(sail l8 l3)
(debark c0 l3)
(board c12 l3)
(sail l3 l10)
(debark c12 l10)
(board c10 l10)
(sail l10 l8)
(debark c10 l8)
(sail l8 l1)
(board c3 l1)
(sail l1 l12)
(debark c3 l12)
(sail l12 l9)
(sail l9 l10)
(sail l10 l11)
(sail l11 l13)
(board c14 l13)
(sail l13 l2)
(debark c14 l2)
(board c4 l2)
(sail l2 l10)
(debark c4 l10)
(sail l10 l13)
(board c5 l13)
(sail l13 l9)
(debark c5 l9)
(sail l9 l14)
(board c1 l14)
(sail l14 l11)
(debark c1 l11)
(sail l11 l2)
(board c2 l2)
(sail l2 l3)
(debark c2 l3)
