(AT obj11 pos21) (AT obj23 pos11) (AT obj88 pos22) (AT obj00 pos21)
(AT obj12 pos23) (AT obj21 pos13) (AT obj44 pos21) (AT obj55 pos11)
(AT obj13 pos21) (AT obj22 pos23) (AT obj55 pos13) (AT obj44 pos22)
(AT obj11 pos23) (AT obj21 pos12) (AT obj66 pos22) (AT obj00 pos11)
(AT obj12 pos22) (AT obj22 pos12) (AT obj44 pos21) (AT obj88 pos22)
(AT obj13 pos22) (AT obj23 pos12) (AT obj55 pos21) (AT obj77 pos23)
(AT obj11 pos23) (AT obj22 pos13) (AT obj66 pos22) (AT obj55 pos11)
(AT obj12 pos22) (AT obj21 pos13) (AT obj44 pos21) (AT obj99 pos12)
(AT obj13 pos22) (AT obj23 pos23) (AT obj77 pos11) (AT obj00 pos12)
(AT obj11 pos23) (AT obj21 pos12) (AT obj66 pos13) (AT obj55 pos21)
(AT obj66 pos22) (AT obj22 pos13) (AT obj44 pos21) (AT obj99 pos12)
(AT obj44 pos21) (AT obj23 pos13) (AT obj55 pos22) (AT obj77 pos12)
