(switch_on instrument2 satellite0)
(turn_to satellite0 groundstation2 star6)
(calibrate satellite0 instrument2 groundstation2)
(turn_to satellite0 phenomenon5 groundstation2)
(take_image satellite0 phenomenon5 instrument2 image0)
(turn_to satellite0 star7 phenomenon5)
(take_image satellite0 star7 instrument2 image0)
(switch_on instrument7 satellite3)
(turn_to satellite3 groundstation0 groundstation2)
(turn_to satellite0 planet8 star7)
(calibrate satellite3 instrument7 groundstation0)
(take_image satellite0 planet8 instrument2 image0)
(turn_to satellite3 planet9 groundstation0)
(turn_to satellite0 planet10 planet8)
(take_image satellite3 planet9 instrument7 image3)
(take_image satellite0 planet10 instrument2 image0)
(turn_to satellite2 phenomenon5 star6)
(turn_to satellite1 star1 groundstation0)
