(unstack b g)
(stack b j)
(unstack b j)
(stack b j)
(unstack g h)
(stack g c)
(unstack h k)
(stack h b)
(unstack k a)
(stack k h)
(unstack k h)
(stack k h)
(unstack a f)
(put-down a)
(unstack f i)
(stack f a)
(pick-up i)
(stack i g)
(unstack f a)
(stack f i)
(unstack k h)
(stack k f)
(unstack k f)
(stack k f)
(unstack h b)
(stack h k)
(unstack b j)
(stack b h)
(unstack b h)
(stack b h)
(unstack j d)
(stack j a)
(pick-up d)
(stack d b)
(unstack j a)
(stack j d)
(unstack j d)
(stack j d)
(pick-up a)
(stack a j)
