(board f0 p0)
(depart f1 p0)
(up f1 f2)
(up f2 f4)
(up f4 f11)
(up f11 f14)
(up f14 f16)
(depart f16 p1)
(up f16 f20)
(up f20 f24)
(board f26 p7)
(up f26 f32)
(up f32 f36)
(up f36 f37)
(depart f37 p7)
(depart f39 p6)
(down f39 f1)
(up f2 f4)
(up f11 f14)
(up f14 f24)
(up f24 f32)
(up f32 f36)
(down f36 f2)
(depart f2 p8)
(up f4 f11)
(up f11 f14)
(up f32 f39)
(depart f39 p9)
(down f39 f1)
(up f1 f4)
(up f4 f11)
(board f24 p17)
(up f24 f32)
(board f32 p11)
(down f32 f1)
(depart f1 p17)
(up f1 f11)
(depart f11 p11)
(down f11 f4)
(depart f39 p2)
