(turn_to satellite2 phenomenon5 star6)
(turn_to satellite1 star1 groundstation4)
(turn_to satellite3 star7 groundstation2)
(turn_to satellite0 star1 star6)
(switch_on instrument0 satellite0)
(calibrate satellite0 instrument0 star1)
(turn_to satellite0 planet9 star1)
(take_image satellite0 planet9 instrument0 image3)
(turn_to satellite2 planet8 phenomenon5)
(turn_to satellite2 planet11 planet8)
(turn_to satellite2 star1 planet11)
(switch_on instrument5 satellite3)
(calibrate satellite2 instrument5 star1)
(take_image satellite3 star7 instrument5 image2)
(turn_to satellite2 phenomenon5 star1)
(take_image satellite2 phenomenon5 instrument5 image2)
(turn_to satellite3 planet8 star7)
(take_image satellite3 planet8 instrument5 image2)
(turn_to satellite3 planet11 planet8)
(take_image satellite3 planet11 instrument5 image2)
