(lift hoist0 crate3 crate2 depot0)
(load hoist0 crate3 truck0 depot0)
(load hoist0 crate2 truck0 depot0)
(lift hoist0 crate1 pallet0 depot0)
(drive truck0 depot0 distributor0)
(lift hoist2 crate0 pallet2 distributor0)
(load hoist2 crate0 truck0 distributor0)
(drop hoist2 crate2 pallet2 distributor0)
(unload hoist2 crate5 truck0 distributor0)
(drive truck0 distributor0 depot1)
(unload hoist1 crate3 truck0 depot1)
(drop hoist1 crate0 crate3 depot1)
(drop hoist1 crate1 crate0 depot1)
(drop hoist0 crate4 pallet0 depot0)
